2026-03-02T13:43:01.280504 | BRYAT | veri çekilemedi
2026-03-02T13:43:14.522320 | CANTE | veri çekilemedi
2026-03-02T13:45:06.585655 | KAYSE | veri çekilemedi
2026-03-02T13:45:44.453914 | KOZAA | veri çekilemedi
2026-03-02T13:48:31.679373 | VAKBN | veri çekilemedi
2026-03-02T13:49:39.035170 | MEAKP | veri çekilemedi
2026-03-02T17:50:51.007648 | ALFAS | veri çekilemedi
2026-03-02T17:50:59.062765 | ANSGR | veri çekilemedi
2026-03-02T17:51:55.907032 | BRISA | veri çekilemedi
2026-03-02T17:52:06.060413 | CANTE | veri çekilemedi
2026-03-02T17:52:57.683572 | ENJSA | veri çekilemedi
2026-03-02T17:53:25.886115 | FROTO | veri çekilemedi
2026-03-02T17:54:06.545847 | ISCTR | veri çekilemedi
2026-03-02T17:54:11.051178 | ISGYO | veri çekilemedi
2026-03-02T17:54:56.585748 | KOZAA | veri çekilemedi
2026-03-02T17:56:23.477529 | SDTTR | veri çekilemedi
2026-03-02T17:58:45.263463 | MEAKP | veri çekilemedi
2026-03-03T09:30:14.562829 | AEFES | veri çekilemedi
2026-03-03T09:30:29.644691 | AHGAZ | veri çekilemedi
2026-03-03T09:30:38.838554 | AKBNK | veri çekilemedi
2026-03-03T09:31:24.086756 | ALFAS | veri çekilemedi
2026-03-03T09:31:33.781838 | ANSGR | veri çekilemedi
2026-03-03T09:32:04.841234 | AYDEM | veri çekilemedi
2026-03-03T09:35:17.178936 | KORDS | veri çekilemedi
2026-03-03T09:35:31.411944 | KOZAA | veri çekilemedi
2026-03-03T09:36:07.622442 | MIATK | veri çekilemedi
2026-03-03T09:36:16.916911 | ODAS | veri çekilemedi
2026-03-03T09:37:05.579430 | SAHOL | veri çekilemedi
2026-03-03T09:38:12.136412 | THYAO | veri çekilemedi
2026-03-03T09:38:58.174480 | ULKER | veri çekilemedi
2026-03-03T09:40:04.930107 | MEAKP | veri çekilemedi
2026-03-03T09:40:14.095518 | GOKNR | veri çekilemedi
2026-03-03T13:40:30.645522 | XU100 | veri çekilemedi
2026-03-03T13:44:18.775922 | HEKTS | veri çekilemedi
2026-03-03T13:44:33.617987 | ISCTR | veri çekilemedi
2026-03-03T13:45:31.038305 | KOZAA | veri çekilemedi
2026-03-03T13:46:27.175123 | PETKM | veri çekilemedi
2026-03-03T13:48:15.120325 | TURSG | veri çekilemedi
2026-03-03T13:49:26.979371 | MEAKP | veri çekilemedi
2026-03-03T17:49:59.524691 | AGHOL | veri çekilemedi
2026-03-03T17:50:08.898199 | AHGAZ | veri çekilemedi
2026-03-03T17:50:17.663946 | AKBNK | veri çekilemedi
2026-03-03T17:50:30.753995 | AKFGY | veri çekilemedi
2026-03-03T17:50:43.873565 | AKFYE | veri çekilemedi
2026-03-03T17:51:03.218233 | ALARK | veri çekilemedi
2026-03-03T17:51:34.717626 | ASTOR | veri çekilemedi
2026-03-03T17:51:53.415751 | BAGFS | veri çekilemedi
2026-03-03T17:52:03.516472 | BERA | veri çekilemedi
2026-03-03T17:52:21.448017 | BRYAT | veri çekilemedi
2026-03-03T17:53:32.225404 | ENJSA | veri çekilemedi
2026-03-03T17:53:58.008129 | FROTO | veri çekilemedi
2026-03-03T17:54:25.957181 | GWIND | veri çekilemedi
2026-03-03T17:54:48.335163 | ISCTR | veri çekilemedi
2026-03-03T17:55:12.003020 | KCAER | veri çekilemedi
2026-03-03T17:55:41.362825 | KOZAA | veri çekilemedi
2026-03-03T17:56:27.423251 | PEKGY | veri çekilemedi
2026-03-03T17:59:43.833755 | MEAKP | veri çekilemedi
2026-03-04T09:30:17.833175 | AGHOL | veri çekilemedi
2026-03-04T09:30:32.790207 | AKBNK | veri çekilemedi
2026-03-04T09:30:46.979380 | AKFGY | veri çekilemedi
2026-03-04T09:33:11.222015 | ENKAI | veri çekilemedi
2026-03-04T09:35:02.578423 | KOZAA | veri çekilemedi
2026-03-04T09:36:07.497948 | QUAGR | veri çekilemedi
2026-03-04T09:36:31.704321 | SDTTR | veri çekilemedi
2026-03-04T09:37:49.591786 | VAKBN | veri çekilemedi
2026-03-04T09:37:59.702511 | VESBE | veri çekilemedi
2026-03-04T09:38:59.029343 | MEAKP | veri çekilemedi
2026-03-04T13:40:33.456154 | ASELS | veri çekilemedi
2026-03-04T13:43:55.761278 | KOZAA | veri çekilemedi
2026-03-04T13:45:50.400909 | TKFEN | veri çekilemedi
2026-03-04T13:47:23.246643 | MEAKP | veri çekilemedi
2026-03-04T17:52:15.568277 | KONTR | veri çekilemedi
2026-03-04T17:52:24.328659 | KORDS | veri çekilemedi
2026-03-04T17:52:42.363927 | KOZAA | veri çekilemedi
2026-03-04T17:56:25.611247 | MEAKP | veri çekilemedi
2026-03-05T09:30:36.770390 | AKCNS | veri çekilemedi
2026-03-05T09:32:45.510904 | EGEEN | veri çekilemedi
2026-03-05T09:32:59.297446 | ENJSA | veri çekilemedi
2026-03-05T09:33:13.221603 | EREGL | veri çekilemedi
2026-03-05T09:33:23.171324 | EUPWR | veri çekilemedi
2026-03-05T09:33:33.609978 | FROTO | veri çekilemedi
2026-03-05T09:33:43.581780 | GARAN | veri çekilemedi
2026-03-05T09:34:04.119640 | GUBRF | veri çekilemedi
2026-03-05T09:34:19.952543 | HALKB | veri çekilemedi
2026-03-05T09:34:44.714651 | ISGYO | veri çekilemedi
2026-03-05T09:34:55.021218 | IZENR | veri çekilemedi
2026-03-05T09:35:10.715368 | KCHOL | veri çekilemedi
2026-03-05T09:35:24.840878 | KLSER | veri çekilemedi
2026-03-05T09:35:49.282206 | KOZAA | veri çekilemedi
2026-03-05T09:39:19.338909 | TARKM | veri çekilemedi
2026-03-05T09:39:30.425521 | KOCMT | veri çekilemedi
2026-03-05T09:39:43.654855 | MEAKP | veri çekilemedi
2026-03-05T13:42:56.504819 | EREGL | veri çekilemedi
2026-03-05T13:43:20.939450 | GENIL | veri çekilemedi
2026-03-05T13:44:51.627601 | KOZAA | veri çekilemedi
2026-03-05T13:48:32.982451 | MEAKP | veri çekilemedi
2026-03-05T17:49:38.354634 | AKCNS | veri çekilemedi
2026-03-05T17:54:02.718847 | KOZAA | veri çekilemedi
2026-03-05T17:56:08.077440 | TAVHL | veri çekilemedi
2026-03-05T17:58:09.199958 | MEAKP | veri çekilemedi
2026-03-06T09:33:38.449495 | ISCTR | veri çekilemedi
2026-03-06T09:34:29.680918 | KOZAA | veri çekilemedi
2026-03-06T09:37:04.258696 | VESBE | veri çekilemedi
2026-03-06T09:38:06.386663 | MEAKP | veri çekilemedi
2026-03-06T13:43:03.792469 | KOZAA | veri çekilemedi
2026-03-06T13:46:42.004604 | MEAKP | veri çekilemedi
2026-03-06T17:51:23.153671 | KOZAA | veri çekilemedi
2026-03-06T17:54:51.205119 | MEAKP | veri çekilemedi
2026-03-09T09:32:18.027533 | DOHOL | veri çekilemedi
2026-03-09T09:33:57.230179 | KLSER | veri çekilemedi
2026-03-09T09:34:21.159866 | KOZAA | veri çekilemedi
2026-03-09T09:34:42.316128 | MAVI | veri çekilemedi
2026-03-09T09:34:57.377961 | MIATK | veri çekilemedi
2026-03-09T09:35:17.741572 | OYAKC | veri çekilemedi
2026-03-09T09:37:31.724994 | VESTL | veri çekilemedi
2026-03-09T09:37:47.497289 | YKBNK | veri çekilemedi
2026-03-09T09:38:08.360291 | REEDR | veri çekilemedi
2026-03-09T09:38:36.696836 | MEAKP | veri çekilemedi
2026-03-09T13:43:54.978069 | KOZAA | veri çekilemedi
2026-03-09T13:47:41.131297 | MEAKP | veri çekilemedi
2026-03-09T17:52:46.492533 | KOZAA | veri çekilemedi
2026-03-09T17:56:22.515877 | MEAKP | veri çekilemedi
2026-03-10T09:38:39.097274 | KOZAA | veri çekilemedi
2026-03-10T09:39:11.203042 | ODAS | veri çekilemedi
2026-03-10T09:39:47.165909 | SAHOL | veri çekilemedi
2026-03-10T09:39:55.081240 | SAYAS | veri çekilemedi
2026-03-10T09:42:29.568762 | MEAKP | veri çekilemedi
2026-03-10T13:43:11.459608 | AHGAZ | veri çekilemedi
2026-03-10T13:44:28.116351 | BIMAS | veri çekilemedi
2026-03-10T13:45:06.030747 | CWENE | veri çekilemedi
2026-03-10T13:45:24.166887 | DOHOL | veri çekilemedi
2026-03-10T13:45:50.141028 | ENKAI | veri çekilemedi
2026-03-10T13:47:17.245701 | KCHOL | veri çekilemedi
2026-03-10T13:47:29.835091 | KONTR | veri çekilemedi
2026-03-10T13:47:47.572085 | KOZAA | veri çekilemedi
2026-03-10T13:47:55.802750 | KRDMD | veri çekilemedi
2026-03-10T13:49:47.368794 | TURSG | veri çekilemedi
2026-03-10T13:50:56.686285 | MEAKP | veri çekilemedi
2026-03-10T17:55:17.476022 | ISCTR | veri çekilemedi
2026-03-10T17:56:13.685051 | KOZAA | veri çekilemedi
2026-03-10T17:57:49.031506 | SISE | veri çekilemedi
2026-03-10T18:00:06.550472 | MEAKP | veri çekilemedi
2026-03-13T10:49:13.449007 | XU100 | veri çekilemedi
2026-03-13T10:50:38.201226 | AYDEM | veri çekilemedi
2026-03-13T10:50:59.324240 | BIMAS | veri çekilemedi
2026-03-13T10:51:14.339948 | BRYAT | veri çekilemedi
2026-03-13T10:52:57.741435 | HALKB | veri çekilemedi
2026-03-13T10:53:01.762272 | HEKTS | veri çekilemedi
2026-03-13T10:54:09.308223 | KOZAA | veri çekilemedi
2026-03-13T10:57:07.278751 | YEOTK | veri çekilemedi
2026-03-13T10:58:02.885656 | MEAKP | veri çekilemedi
2026-03-13T15:00:16.455250 | BAGFS | veri çekilemedi
2026-03-13T15:00:52.530139 | CCOLA | veri çekilemedi
2026-03-13T15:03:46.329779 | KOZAA | veri çekilemedi
2026-03-13T15:04:30.864817 | MAVI | veri çekilemedi
2026-03-13T15:05:45.850376 | SDTTR | veri çekilemedi
2026-03-13T15:05:55.206710 | SISE | veri çekilemedi
2026-03-13T15:06:49.949548 | SMRTG | veri çekilemedi
2026-03-13T15:07:03.091948 | TABGD | veri çekilemedi
2026-03-13T15:07:12.647347 | TAVHL | veri çekilemedi
2026-03-13T15:08:54.290758 | KOCMT | veri çekilemedi
2026-03-13T15:09:07.883959 | MEAKP | veri çekilemedi
